"","SampleID","Age Interval","Period","DonorID","Sex","Structure Acronym","Regions","Hemisphere","PMI (hours)","Sequencing Batch","Chimeric Pairs","Percent aligned ChrX","Percent aligned ChrY","AUC all percentage","AUC unique percentage","Mode Fragment Length Count","Exonic Rate","Total fragments assigned exon fc","Total fragments count unique exon fc","Total fragments count unique assigned exon fc","Total Assigned Gene","Intronic Rate","Percentage mapped multi loci STAR","Percentage mapped too many loci STAR","Percentage unmapped other STAR","Reads Mapped","Total N Reads","Mapping Rate","Mapping Rate unique","Mapping Rate both","Junction count","Mapped Pairs","Percentage mapped multi loci both STAR","Percentage mapped too many loci both STAR"
"499","ERR1473448","8-9pcw","Prenatal","11869_donorID","F","MB","Midbrain","",2,"sequencing batch:FC2014_073",3.6,2.57,0.01,130.83,135.22,196111,71.25,26669831,52992904,26669831,26475777,9.52,9.13,0.07,0.03,37429530,39119539,86.55,33859852,95.7,279626,37429530,9.1,0.1
"500","ERR1473449","8-9pcw","Prenatal","11920_donorID","M","MB","Midbrain","",2.83333333333333,"sequencing batch:FC2014_054",3.23,2.96,0.1,132.2,134.64,275334,72.67,33938374,56718411,33938374,33476399,9.93,6.3,0.06,0.03,46699360,48376599,90.23,43649795,96.5,265669,46699360,6.3,0.1
"501","ERR1473450","16-18pcw","Prenatal","11907_donorID","F","MB","Midbrain","R",16.6666666666667,"sequencing batch:FC2014_054",6.78,3.12,0.01,138.72,141.68,248411,86.78,36630892,52568510,36630892,35901531,1.96,6.62,0.03,0.01,42212411,43625401,90.14,39325098,96.8,261050,42212411,6.6,0
"502","ERR1473451","13-15pcw","Prenatal","1923_donorID","F","MB","Midbrain","",2.5,"sequencing batch:FC2014_058",5.18,2.85,0.01,136.63,139.91,291587,81.88,42412114,66178079,42412114,42391064,4.24,7.85,0.04,0.02,51796556,53566832,88.85,47591553,96.7,304276,51796556,7.9,0
"503","ERR1473452","10-12pcw","Prenatal","11854_donorID","M","MB","Midbrain","",14,"sequencing batch:FC2014_055",2.42,2.99,0.09,133.19,135.68,201997,79.9,31569249,48332259,31569249,31324465,5.61,6.78,0.05,0.02,39511346,40475139,90.84,36767272,97.6,282076,39511346,6.8,0
"504","ERR1473453","10-12pcw","Prenatal","11834_donorID","M","MB","Midbrain","",3.83333333333333,"sequencing batch:FC2014_055",3.53,3.12,0.09,135.77,138.24,183487,82.56,26807103,39154329,26807103,26329595,4.71,6.19,0.04,0.02,32470823,33289424,91.35,30408579,97.5,257158,32470823,6.2,0
"505","ERR1473454","10-12pcw","Prenatal","1558_donorID","F","MB","Midbrain","",3,"sequencing batch:FC2014_069",1.38,3.15,0.01,133.23,135.43,253518,80.74,38513492,56835087,38513492,38039833,5.65,6.37,0.05,0.02,47700440,48656064,91.66,44600182,98,273037,47700440,6.4,0
"506","ERR1473455","10-12pcw","Prenatal","11885_donorID","M","MB","Midbrain","",NA,"sequencing batch:FC2014_043",3.92,2.98,0.1,131.76,134.18,323687,77.18,47199490,74066981,47199490,46481068,8.29,5.87,0.05,0.03,61156517,62293813,92.31,57502295,98.2,333545,61156517,5.9,0.1
"507","ERR1473456","10-12pcw","Prenatal","11656_donorID","F","MB","Midbrain","",NA,"sequencing batch:FC2014_047",3.78,3.13,0.02,136.18,139.19,255506,81.22,38455018,59063164,38455018,37816250,5.38,6.75,0.04,0.02,47345743,48327432,91.22,44083656,98,268552,47345743,6.7,0
"508","ERR1473457","10-12pcw","Prenatal","11609_donorID","F","MB","Midbrain","",NA,"sequencing batch:FC2014_047",1.59,2.8,0.01,131.42,135.69,282176,76.45,39363711,69474274,39363711,39449542,6.4,9.19,0.05,0.02,51488837,52590463,88.71,46653392,97.9,307184,51488837,9.2,0.1
"509","ERR1473458","10-12pcw","Prenatal","11833_donorID","F","MB","Midbrain","",30,"sequencing batch:FC2014_047",2.51,3.3,0.01,133.09,135.64,301915,78.78,43054154,66196606,43054154,41994790,6.83,5.79,0.05,0.02,54652732,55685988,92.36,51430312,98.1,309291,54652732,5.8,0.1
"510","ERR1473459","10-12pcw","Prenatal","11841_donorID","M","MB","Midbrain","",2,"sequencing batch:FC2014_044",3.32,2.2,0.07,128.95,134.85,227262,70.35,27809158,60569837,27809158,27697407,8.84,10.88,0.06,0.03,39532455,40392311,86.99,35139074,97.9,279813,39532455,10.9,0.1
"511","ERR1473460","8-9pcw","Prenatal","11882_donorID","F","MB","Midbrain","",2,"sequencing batch:FC2014_045",2.32,3.25,0.01,130.72,132.38,193075,77.64,30796033,45915386,30796033,30173276,7.76,4.96,0.06,0.03,39663153,40516687,92.94,37655366,97.9,311842,39663153,5,0.1
"512","ERR1473461","4-7pcw","Prenatal","11903_donorID","F","MB","Midbrain","",5.25,"sequencing batch:FC2014_045",1.56,1.83,0.01,121.91,129.32,225349,64.06,25161905,67433273,25161905,25566027,12.3,14.19,0.07,0.03,39280629,40012517,83.99,33604637,98.2,283187,39280629,14.2,0.1
"513","ERR1473462","13-15pcw","Prenatal","11892_donorID","M","MB","Midbrain","",2,"sequencing batch:FC2014_089",2.57,2.66,0.1,130.14,133.17,194525,75.6,28226663,47828524,28226663,27984725,7.85,7.41,0.07,0.04,37335049,37871973,91.17,34527184,98.6,266091,37335049,7.4,0.1
"514","ERR1473463","13-15pcw","Prenatal","11844_donorID","M","MB","Midbrain","",2,"sequencing batch:FC2014_053",3.29,2.84,0.07,134.7,137.48,263058,80.72,35333469,55443118,35333469,34827189,5.03,7.19,0.05,0.04,43773364,44615882,90.93,40567523,98.1,264943,43773364,7.2,0
"515","ERR1473464","10-12pcw","Prenatal","11893_donorID","F","MB","Midbrain","",2,"sequencing batch:FC2014_065",3.68,2.44,0.01,133.28,139.13,319020,77.99,42256294,80792055,42256294,41744882,4.85,10.42,0.05,0.02,54184255,55795857,86.69,48371569,97.1,277905,54184255,10.4,0.1
"516","ERR1473465","10-12pcw","Prenatal","11683_donorID","F","MB","Midbrain","L",16,"sequencing batch:FC2014_080",3.99,2.8,0.01,133.42,136.94,226706,79.06,36776952,61651692,36776952,36185689,5.79,7.58,0.05,0.02,46517387,47532308,90.29,42916696,97.9,304927,46517387,7.6,0.1
"517","ERR1473466","10-12pcw","Prenatal","12007_donorID","M","MB","Midbrain","",4.5,"sequencing batch:FC2014_080",3.21,2.83,0.08,133.27,136.05,181337,80.96,32180225,50052907,32180225,31703399,5.35,6.5,0.04,0.02,39748486,40778918,90.97,37097818,97.5,291317,39748486,6.5,0
"518","ERR1473467","10-12pcw","Prenatal","11683_donorID","F","MB","Midbrain","R",16,"sequencing batch:FC2014_080",1.49,3.3,0.02,128.78,130.59,205764,73.05,34378025,55361448,34378025,33910489,10.59,5.51,0.07,0.04,47060651,48370628,91.78,44393713,97.3,301843,47060651,5.5,0.1
"519","ERR1473468","10-12pcw","Prenatal","11666_donorID","M","MB","Midbrain","R",NA,"sequencing batch:FC2014_089",0.88,2.98,0.11,124.73,126.71,176772,66.21,27586213,50115143,27586213,27324827,14.97,5.73,0.07,0.04,41666780,42700223,91.84,39217942,97.6,273966,41666780,5.7,0.1
"520","ERR1473469","10-12pcw","Prenatal","11653_donorID","M","MB","Midbrain","R",NA,"sequencing batch:FC2014_081",2.67,3,0.08,134.91,137.13,194056,82.01,37288226,55143675,37288226,36810952,5.15,5.96,0.04,0.02,45465975,47601734,89.55,42627098,95.5,280318,45465975,6,0
"521","ERR1473470","10-12pcw","Prenatal","11653_donorID","M","MB","Midbrain","L",NA,"sequencing batch:FC2014_081",2.13,3.09,0.09,131.92,133.66,204418,78.84,34847650,51741496,34847650,34391180,7.12,5.4,0.05,0.03,44200439,44952937,92.93,41773277,98.3,297341,44200439,5.4,0.1
"522","ERR1473471","10-12pcw","Prenatal","11666_donorID","M","MB","Midbrain","L",NA,"sequencing batch:FC2014_081",2.13,3.06,0.09,131.4,133.34,180541,79.69,31634468,46902684,31634468,31174260,6.9,5.46,0.05,0.03,39695141,40380106,92.84,37489822,98.3,291810,39695141,5.5,0.1
"523","ERR1473472","10-12pcw","Prenatal","11683_donorID","F","MB","Midbrain","L",16,"sequencing batch:FC2014_089",1.4,3.17,0.01,128.28,130.43,133122,72.39,21907533,36575394,21907533,21614825,10.7,5.98,0.07,0.04,30261333,30754165,92.41,28421357,98.4,263187,30261333,6,0.1
"524","ERR1473473","8-9pcw","Prenatal","11814_donorID","M","PIT-DIEN","Forebrain","R",NA,"sequencing batch:FC2014_032",2.37,2.56,0.09,129.28,133.4,301658,71.52,37628319,71820023,37628319,37288968,9.73,8.41,0.06,0.03,52609488,53926028,89.14,48071918,97.6,309348,52609488,8.4,0.1
"525","ERR1473474","10-12pcw","Prenatal","11834_donorID","M","PIT-DIEN","Forebrain","",3.83333333333333,"sequencing batch:FC2014_069",3.27,2.97,0.08,134.87,137.56,243091,84.57,39785579,57833838,39785579,39243211,3.6,6.53,0.03,0.01,47045748,47807945,91.87,43922048,98.4,294465,47045748,6.5,0
"526","ERR1473475","8-9pcw","Prenatal","11873_donorID","F","PONS","Hindbrain","",18,"sequencing batch:FC2014_066",5.9,3.34,0.02,131.06,132.49,277189,72.89,34414281,53385666,34414281,34146888,10.9,4.79,0.05,0.03,47215816,48780969,92.01,44881005,96.8,230560,47215816,4.8,0
"527","ERR1473476","16-18pcw","Prenatal","11907_donorID","F","PONS","Hindbrain","R",16.6666666666667,"sequencing batch:FC2014_054",3.46,3.09,0.01,135.58,138.17,256856,85.04,39740286,57217177,39740286,39184256,3.17,6.47,0.04,0.02,46729134,48057312,90.77,43620210,97.2,299713,46729134,6.5,0
"528","ERR1473477","8-9pcw","Prenatal","11814_donorID","M","SCI","Spinal Cord","R",NA,"sequencing batch:FC2014_032",2.98,2.69,0.09,130.37,133.68,269419,76.19,36894808,62496580,36894808,36378545,7.66,7.16,0.05,0.03,48425803,49353656,90.96,44890888,98.1,305621,48425803,7.2,0
"529","ERR1473478","4-7pcw","Prenatal","11840_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_037",0.91,3.07,0.01,128.37,130.68,193208,74.82,27841924,45118270,27841924,27697972,10,6.79,0.05,0.02,37210970,38132823,90.79,34622301,97.6,283059,37210970,6.8,0.1
"530","ERR1473479","8-9pcw","Prenatal","11810_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_040",3.2,2.73,0.01,129.82,133.93,289042,73.69,38573089,71031533,38573089,38085473,8.61,8.22,0.06,0.03,52344214,53582019,89.47,47939515,97.7,306037,52344214,8.2,0.1
"531","ERR1473480","4-7pcw","Prenatal","11284_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_045",2.52,3.26,0.01,131.29,133.01,204033,77.48,31404255,46907591,31404255,30788145,7.56,5.09,0.06,0.03,40533366,41521067,92.53,38418887,97.6,311964,40533366,5.1,0.1
"532","ERR1473481","8-9pcw","Prenatal","11811_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_045",3,3.2,0.01,132.23,133.82,192476,80.16,31568608,45131749,31568608,30953700,6.21,4.91,0.05,0.03,39380596,40364511,92.65,37396729,97.6,307871,39380596,4.9,0.1
"533","ERR1473482","8-9pcw","Prenatal","11849_donorID","M","SCI","Spinal Cord","",2,"sequencing batch:FC2014_045",3.19,3.08,0.1,132.58,134.35,199707,80.25,32866132,47439396,32866132,32254741,6.02,5.05,0.06,0.03,40956390,41890397,92.72,38842239,97.8,311996,40956390,5,0.1
"534","ERR1473483","13-15pcw","Prenatal","11501_donorID","M","SCI","Spinal Cord","",2,"sequencing batch:FC2014_045",4.67,2.82,0.08,135.46,137.83,226503,80.84,33974700,50468396,33974700,33573359,5.47,6.13,0.06,0.02,42028881,42898376,91.84,39397375,98,314533,42028881,6.1,0.1
"535","ERR1473484","8-9pcw","Prenatal","1092_donorID","F","SCI","Spinal Cord","",NA,"sequencing batch:FC2014_048",3.1,2.23,0.01,133.94,142.46,290706,74.05,33145879,71875932,33145879,33337549,5.82,14.26,0.06,0.03,44761195,45938652,83.17,38209083,97.4,227208,44761195,14.3,0.1
"536","ERR1473485","8-9pcw","Prenatal","11868_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_048",3.19,3.16,0.02,131.22,133.47,209330,76.81,32211088,50328678,32211088,31718016,7.71,6.05,0.05,0.04,41934446,42646839,92.27,39352252,98.3,306180,41934446,6.1,0
"537","ERR1473486","8-9pcw","Prenatal","11793_donorID","M","SCI","Spinal Cord","",2,"sequencing batch:FC2014_048",2.76,2.94,0.11,131.62,133.89,210083,77.62,32624099,50751596,32624099,32248802,7.11,6.24,0.04,0.04,42030989,42816260,91.93,39360995,98.2,302125,42030989,6.2,0
"538","ERR1473487","8-9pcw","Prenatal","11443_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_048",3.62,3.26,0.02,133.52,135.58,220963,80.85,35076056,51251323,35076056,34492675,5.59,5.68,0.04,0.03,43383722,44101786,92.69,40878408,98.4,301715,43383722,5.7,0
"539","ERR1473488","8-9pcw","Prenatal","11410_donorID","M","SCI","Spinal Cord","",2,"sequencing batch:FC2014_048",3.24,2.96,0.09,133.52,136.24,218449,80.55,34332572,52775165,34332572,33860340,5.36,6.7,0.04,0.03,42620231,43309176,91.71,39717490,98.4,294649,42620231,6.7,0
"540","ERR1473489","8-9pcw","Prenatal","11860_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_050",8.16,2.87,0.01,137.88,141.21,312551,80.01,42395969,66968744,42395969,41834219,5.55,7.11,0.04,0.02,52989031,54051932,90.93,49147814,98,303195,52989031,7.1,0
"541","ERR1473490","8-9pcw","Prenatal","11843_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_050",3.01,3.33,0.02,131.62,133.63,217766,78.3,34473110,51685921,34473110,33844816,7.48,5.2,0.05,0.03,44025623,44964038,92.71,41686026,97.9,305397,44025623,5.2,0.1
"542","ERR1473491","8-9pcw","Prenatal","11824_donorID","M","SCI","Spinal Cord","",2,"sequencing batch:FC2014_050",3.09,3.16,0.1,132.42,134.54,232325,78.69,36341881,54804889,36341881,35738164,7.06,5.38,0.05,0.03,46184557,47175273,92.52,43646596,97.9,309289,46184557,5.4,0
"543","ERR1473492","8-9pcw","Prenatal","11444_donorID","M","SCI","Spinal Cord","",2,"sequencing batch:FC2014_050",3.12,3.11,0.09,134.71,136.75,248763,82.11,39868467,57059118,39868467,39155941,5.08,5.48,0.04,0.02,48554259,49553487,92.5,45837721,98,304950,48554259,5.5,0
"544","ERR1473493","8-9pcw","Prenatal","11402_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_048",2.97,2.44,0,134.77,139.92,266896,78.55,35169741,63468274,35169741,35491625,4.77,10.86,0.04,0.02,44772099,45895390,86.69,39788383,97.6,273750,44772099,10.9,0
"545","ERR1473494","4-7pcw","Prenatal","1039_donorID","F","SCI","Spinal Cord","",NA,"sequencing batch:FC2014_049",2.14,2.99,0.01,130.92,133.73,241232,74.9,35891113,59887892,35891113,35269509,8.64,6.61,0.06,0.05,47917914,48848669,91.48,44688803,98.1,312220,47917914,6.6,0.1
"546","ERR1473495","4-7pcw","Prenatal","11856_donorID","M","SCI","Spinal Cord","",2,"sequencing batch:FC2014_049",2.48,3,0.12,129.8,131.51,238048,74.19,37509753,58475658,37509753,36938456,9.42,5.16,0.06,0.04,50558365,51382126,93.23,47905974,98.4,341331,50558365,5.2,0.1
"547","ERR1473496","4-7pcw","Prenatal","11514_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_049",2.82,3.28,0.02,130.74,132.59,263287,74.46,37528292,58810150,37528292,36832829,9.25,5.31,0.05,0.03,50401073,51323884,92.89,47675200,98.2,322110,50401073,5.3,0.1
"548","ERR1473497","4-7pcw","Prenatal","1038_donorID","M","SCI","Spinal Cord","",NA,"sequencing batch:FC2014_049",2.81,2.66,0.09,133.7,137.06,275996,78.81,39902998,64910472,39902998,39421461,6.23,7.54,0.05,0.03,50630263,51532982,90.71,46743625,98.2,300840,50630263,7.5,0.1
"549","ERR1473498","4-7pcw","Prenatal","11770_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_049",2.54,3.22,0.01,131.55,133.4,219601,78.37,36346403,54096784,36346403,35735565,7.16,5.35,0.05,0.03,46379869,47176899,92.96,43856471,98.3,316966,46379869,5.3,0
"550","ERR1473499","4-7pcw","Prenatal","11627_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_049",2.79,2.66,0.01,130.61,134.83,238771,74.88,35764771,65276180,35764771,35603225,7.8,9,0.06,0.03,47765072,48493002,89.5,43399517,98.5,310427,47765072,9,0.1
"551","ERR1473500","4-7pcw","Prenatal","11456_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_049",4.22,3.09,0.01,134.95,137.62,237835,81.65,37382097,56295825,37382097,36716606,4.89,6.29,0.04,0.02,45782038,46546901,92.06,42852387,98.4,293373,45782038,6.3,0
"552","ERR1473501","4-7pcw","Prenatal","11931_donorID","Unknown","SCI","Spinal Cord","",NA,"sequencing batch:FC2014_049",2.2,3.3,0.01,131.12,132.42,192439,78.24,32356849,46432840,32356849,31848153,7.92,4.68,0.04,0.03,41354434,42042185,93.68,39387190,98.4,298067,41354434,4.7,0
"553","ERR1473502","4-7pcw","Prenatal","11513_donorID","M","SCI","Spinal Cord","",2,"sequencing batch:FC2014_049",2.13,2.79,0.11,129.24,131.46,240168,75.56,35571681,56583710,35571681,35098652,8.31,6.1,0.06,0.04,47079067,47903735,92.18,44156125,98.3,329279,47079067,6.1,0.1
"554","ERR1473503","8-9pcw","Prenatal","849_donorID","F","SCI","Spinal Cord","",3.16666666666667,"sequencing batch:FC2014_050",2.81,3.26,0.01,131.14,133.29,275418,74.95,37839071,60404387,37839071,37065519,8.86,5.55,0.06,0.03,50488104,51503163,92.48,47630931,98,302113,50488104,5.5,0.1
"555","ERR1473504","8-9pcw","Prenatal","11881_donorID","M","SCI","Spinal Cord","",2,"sequencing batch:FC2014_050",2.99,2.85,0.12,128.62,130.97,237212,70.64,31908164,55083660,31908164,31417281,11.15,6.02,0.06,0.04,45168636,46208908,91.73,42388430,97.7,306700,45168636,6,0.1
"556","ERR1473505","8-9pcw","Prenatal","11874_donorID","M","SCI","Spinal Cord","",2,"sequencing batch:FC2014_050",4.72,2.86,0.1,131.72,134.41,248239,75.14,34619499,57128654,34619499,34010128,8.54,6.25,0.05,0.03,46072345,46995091,91.78,43133427,98,297205,46072345,6.3,0.1
"557","ERR1473506","8-9pcw","Prenatal","11869_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_050",4.29,2.89,0.01,132.08,135.6,247061,76.26,35620609,61179529,35620609,35024104,7.29,7.45,0.05,0.03,46707515,47789189,90.29,43149203,97.7,302530,46707515,7.4,0.1
"558","ERR1473507","8-9pcw","Prenatal","11800_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_050",3.25,2.89,0.01,128.51,131.84,278355,70.52,35997039,66393749,35997039,35423616,10.4,7.36,0.06,0.04,51042373,52200487,90.42,47198954,97.8,299275,51042373,7.4,0.1
"559","ERR1473508","8-9pcw","Prenatal","11492_donorID","M","SCI","Spinal Cord","",2,"sequencing batch:FC2014_050",3.16,2.73,0.11,127.1,130.19,220775,68.57,30522522,57148117,30522522,30110532,11.76,6.92,0.06,0.04,44515888,45441660,91.05,41372534,98,311077,44515888,6.9,0.1
"560","ERR1473509","10-12pcw","Prenatal","1650_donorID","F","SCI","Spinal Cord","",2.83333333333333,"sequencing batch:FC2014_065",4.49,2.55,0.01,135.92,141.6,310934,80.21,41718475,75417607,41718475,41167173,4.14,9.85,0.05,0.02,52011171,53392700,87.56,46750789,97.4,283582,52011171,9.9,0
"561","ERR1473510","10-12pcw","Prenatal","898_donorID","F","SCI","Spinal Cord","",1.75,"sequencing batch:FC2014_065",5.5,2.03,0.01,136.43,145.27,347723,77.53,42263741,91040778,42263741,41966374,3.74,13.61,0.05,0.02,54515408,56006976,83.72,46890892,97.3,261683,54515408,13.6,0
"562","ERR1473511","10-12pcw","Prenatal","11429_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_065",5.4,2.58,0.01,136.03,140.98,304197,80.79,42192264,73550983,42192264,41548778,4.1,9.03,0.05,0.02,52221470,53921069,87.82,47354728,96.8,300771,52221470,9,0
"563","ERR1473512","10-12pcw","Prenatal","11787_donorID","M","SCI","Spinal Cord","",NA,"sequencing batch:FC2014_065",4.21,2.26,0.06,133.34,139.33,282112,77.92,39349581,76157692,39349581,39038960,4.79,10.73,0.05,0.02,50498912,51827208,86.71,44939690,97.4,300231,50498912,10.7,0.1
"564","ERR1473513","10-12pcw","Prenatal","1210_donorID","F","SCI","Spinal Cord","",NA,"sequencing batch:FC2014_065",3.69,2.32,0.01,135.28,141.64,307978,80.38,42482854,81247426,42482854,42551673,3.04,11.62,0.04,0.02,52850301,54272346,85.76,46543250,97.4,283477,52850301,11.6,0
"565","ERR1473514","10-12pcw","Prenatal","11806_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_065",5.18,2.47,0.01,136.27,142.38,269388,81.44,36832755,67017334,36832755,36365447,3.17,10.15,0.04,0.02,45228706,46736646,86.63,40487153,96.8,272894,45228706,10.1,0
"566","ERR1473515","10-12pcw","Prenatal","1263_donorID","F","SCI","Spinal Cord","",NA,"sequencing batch:FC2014_065",4.58,3.07,0.01,137.71,140.98,277264,85,42147897,63391616,42147897,41597073,2.9,7.3,0.03,0.01,49586600,50838382,90.24,45877261,97.5,287338,49586600,7.3,0
"567","ERR1473516","10-12pcw","Prenatal","1874_donorID","Unknown","SCI","Spinal Cord","",2.25,"sequencing batch:FC2014_073",2.98,3.16,0.01,141.53,144.42,404922,83.64,49453584,73612613,49453584,48938477,3.64,7.8,0.04,0.01,59125773,60606701,89.75,54396188,97.6,246504,59125773,7.8,0
"568","ERR1473517","10-12pcw","Prenatal","11880_donorID","M","SCI","Spinal Cord","",2,"sequencing batch:FC2014_073",6.24,2.96,0.07,139.9,142.64,258584,83.61,38467230,56856600,38467230,37797040,3.86,6.72,0.04,0.02,46009804,46996220,91.18,42852412,97.9,281212,46009804,6.7,0
"569","ERR1473518","10-12pcw","Prenatal","11573_donorID","F","SCI","Spinal Cord","",2,"sequencing batch:FC2014_073",6.6,2.95,0.01,138.76,141.93,275054,84.89,43748645,65603644,43748645,42897760,2.99,6.96,0.04,0.01,51535377,52448245,91.3,47885204,98.3,305713,51535377,7,0
"570","ERR1473520","8-9pcw","Prenatal","1406_donorID","F","TEL","Forebrain","L",4,"sequencing batch:FC2014_038",1.42,1.6,0,116.43,127.24,283231,54.76,26888415,96809767,26888415,27733741,15.32,17.81,0.1,0.05,49103951,50325273,79.76,40140681,97.6,294358,49103951,17.8,0.1
"571","ERR1473521","8-9pcw","Prenatal","1406_donorID","F","TEL","Forebrain","R",4,"sequencing batch:FC2014_038",0.83,0.76,0,104.09,127.72,309693,43.63,20734557,147120214,20734557,23348465,11.59,35.64,0.14,0.04,47522769,48518491,62.31,30231135,97.9,273255,47522769,35.6,0.1
"572","ERR1473522","8-9pcw","Prenatal","11823_donorID","M","TEL","Forebrain","R",2,"sequencing batch:FC2014_038",1.2,1.81,0.07,124.47,132.75,256560,67.55,33560202,85387683,33560202,33804687,9.9,14.24,0.09,0.03,49684276,50789637,83.58,42451881,97.8,274731,49684276,14.2,0.1
"573","ERR1473523","8-9pcw","Prenatal","11823_donorID","M","TEL","Forebrain","L",2,"sequencing batch:FC2014_038",2.49,2.51,0.09,131.75,135.34,227131,75.62,34294097,59559422,34294097,34367239,8.17,8.42,0.07,0.03,45351202,46961105,88.15,41395586,96.6,296763,45351202,8.4,0.1
"574","ERR1473524","8-9pcw","Prenatal","11884_donorID","F","TEL","Forebrain","L",3.83333333333333,"sequencing batch:FC2014_030",1.13,2.57,0.01,129.21,134.27,252776,74.13,32437445,62827077,32437445,32240798,7.73,9.95,0.06,0.02,43755458,44576197,88.21,39319243,98.2,275956,43755458,10,0.1
"575","ERR1473525","8-9pcw","Prenatal","11884_donorID","F","TEL","Forebrain","R",3.83333333333333,"sequencing batch:FC2014_030",1.29,2.03,0.01,125.68,133.48,370908,67.11,40326197,100549618,40326197,40753786,10.1,13.78,0.08,0.03,60090383,61147500,84.49,51661314,98.3,286078,60090383,13.8,0.1
"576","ERR1473526","8-9pcw","Prenatal","11814_donorID","M","TEL","Forebrain","R",NA,"sequencing batch:FC2014_032",2.5,2.71,0.09,133.09,135.9,254638,80.04,37706291,58778298,37706291,37362363,5.53,7.18,0.06,0.02,47108427,47876927,91.21,43670298,98.4,302376,47108427,7.2,0.1
"577","ERR1473527","8-9pcw","Prenatal","11828_donorID","F","TEL","Forebrain","L",NA,"sequencing batch:FC2014_035, FC2014_117",1.41,2.77,0.01,126.71,130.05,67979,67.74,9861150,18902977,9861150,9775108,13.39,7.64,0.09,0.04,14556331,14876704,90.2,13419361,97.8,196666,14556331,7.6,0.1
"578","ERR1473528","8-9pcw","Prenatal","11828_donorID","F","TEL","Forebrain","L",NA,"sequencing batch:FC2014_035, FC2014_117",1.39,2.76,0.01,126.76,130.15,120062,67.83,17551625,33722041,17551625,17398209,13.28,7.74,0.09,0.05,25875315,26384429,90.33,23834227,98.1,233055,25875315,7.7,0.1
"579","ERR1473529","8-9pcw","Prenatal","11828_donorID","F","TEL","Forebrain","R",NA,"sequencing batch:FC2014_035",1.38,2.88,0.01,130.79,134.12,240141,72.41,29738625,53130504,29738625,29292934,10.27,7.72,0.08,0.03,41070961,41899535,90.3,37835393,98,269814,41070961,7.7,0.1
"580","ERR1473530","8-9pcw","Prenatal","11829_donorID","M","TEL","Forebrain","R",3,"sequencing batch:FC2014_035",1.94,2.72,0.08,131.84,135.37,208531,75.5,32230335,55798375,32230335,31881303,8.45,7.89,0.06,0.03,42688992,43603629,90.02,39250327,97.9,270812,42688992,7.9,0.1
"581","ERR1473531","8-9pcw","Prenatal","11829_donorID","M","TEL","Forebrain","L",3,"sequencing batch:FC2014_035",1.9,2.71,0.09,130.81,133.61,210088,74.56,28785327,48316606,28785327,28493499,9.49,7.11,0.07,0.03,38606938,39259296,91.22,35813790,98.3,262757,38606938,7.1,0.1
"582","ERR1473532","8-9pcw","Prenatal","11865_donorID","M","TEL","Forebrain","R",NA,"sequencing batch:FC2014_043",1.97,2.77,0.1,131.5,133.91,201499,78.69,30214415,46791761,30214415,30116840,6.98,6.9,0.05,0.03,38399013,39027161,91.49,35704328,98.4,282956,38399013,6.9,0.1
"583","ERR1473533","8-9pcw","Prenatal","11871_donorID","F","TEL","Forebrain","L",4,"sequencing batch:FC2014_035",1.3,2.16,0.01,123.38,129.61,271017,62.91,29115488,74607304,29115488,29305568,13.74,12.35,0.08,0.04,46277706,47020293,86.07,40469716,98.4,268953,46277706,12.4,0.1
"584","ERR1473534","8-9pcw","Prenatal","11871_donorID","F","TEL","Forebrain","R",4,"sequencing batch:FC2014_035",1.29,2.43,0.01,124.83,129.84,234964,64.83,27074675,62730467,27074675,27028760,12.7,10.45,0.08,0.04,41760900,42442905,87.94,37324474,98.4,281932,41760900,10.5,0.1
"585","ERR1473535","8-9pcw","Prenatal","11878_donorID","F","TEL","Forebrain","R",NA,"sequencing batch:FC2014_035",1.35,1.96,0,124.92,131.68,278899,66.35,31686334,80531924,31686334,32605093,10.19,14.33,0.09,0.04,47753093,48487044,84.15,40803605,98.5,303006,47753093,14.3,0.1
"586","ERR1473536","8-9pcw","Prenatal","11878_donorID","F","TEL","Forebrain","L",NA,"sequencing batch:FC2014_037",1.14,2.35,0.01,125.56,130.58,204430,69.11,26149660,56517703,26149660,26216570,10.54,10.55,0.11,0.03,37839547,38932265,86.64,33731057,97.2,275330,37839547,10.6,0.1
